task_id,task_band,workflow,workflow_label,run_id,operator,time_to_demo_min,instant_demo_ok,time_to_robust_min,final_robust_ok,validation_on,loop_mode,llm_rounds,tool_calls,errors_top,notes
N01,L1,W1_manual,W1 Manual (no LLM),1,synthetic_operator_A,29.09,0,50.82,1,0,none,0,0,none,SYNTHETIC — replace with measured trials before submission
N01,L1,W1_manual,W1 Manual (no LLM),2,synthetic_operator_A,36.48,0,62.35,1,0,none,0,0,none,SYNTHETIC — replace with measured trials before submission
N02,L1,W1_manual,W1 Manual (no LLM),1,synthetic_operator_A,16.86,1,21.83,1,0,none,0,0,none,SYNTHETIC — replace with measured trials before submission
N02,L1,W1_manual,W1 Manual (no LLM),2,synthetic_operator_A,30.56,0,45.95,1,0,none,0,0,none,SYNTHETIC — replace with measured trials before submission
N03,L1,W1_manual,W1 Manual (no LLM),1,synthetic_operator_A,28.64,1,,0,0,none,0,0,stub_mismatch,SYNTHETIC — replace with measured trials before submission
N03,L1,W1_manual,W1 Manual (no LLM),2,synthetic_operator_A,22.41,1,28.49,1,0,none,0,0,none,SYNTHETIC — replace with measured trials before submission
N04,L1,W1_manual,W1 Manual (no LLM),1,synthetic_operator_A,31.09,0,64.04,1,0,none,0,0,none,SYNTHETIC — replace with measured trials before submission
N04,L1,W1_manual,W1 Manual (no LLM),2,synthetic_operator_A,19.71,1,27.35,1,0,none,0,0,none,SYNTHETIC — replace with measured trials before submission
N05,L1,W1_manual,W1 Manual (no LLM),1,synthetic_operator_A,18.7,1,22.41,1,0,none,0,0,none,SYNTHETIC — replace with measured trials before submission
N05,L1,W1_manual,W1 Manual (no LLM),2,synthetic_operator_A,23.18,1,32.5,1,0,none,0,0,none,SYNTHETIC — replace with measured trials before submission
N06,L1,W1_manual,W1 Manual (no LLM),1,synthetic_operator_A,30.63,0,53.21,1,0,none,0,0,none,SYNTHETIC — replace with measured trials before submission
N06,L1,W1_manual,W1 Manual (no LLM),2,synthetic_operator_A,22.78,1,30.47,1,0,none,0,0,none,SYNTHETIC — replace with measured trials before submission
